AAPL	SPY	TSLA	HOG	HSY	HLT
182.67481994628906	471.2306213378906	187.2899932861328	30.939563751220703	182.06253051757812	189.99578857421875
179.28744506835938	495.82269287109375	201.8800048828125	34.581764221191406	178.0424041748047	203.44166564941406
170.0924530029297	512.0370483398438	175.7899932861328	41.9039306640625	184.27655029296875	212.39300537109375
168.9517822265625	491.39190673828125	183.27999877929688	32.9464111328125	183.72703552246094	196.4319305419922
190.95306396484375	516.2463989257812	178.0800018310547	34.37386703491211	188.6899871826172	199.88421630859375
209.19911193847656	534.4595947265625	197.8800048828125	32.291751861572266	175.33682250976562	217.42140197753906
220.58181762695312	540.9314575195312	232.07000732421875	36.10437774658203	188.35614013671875	213.9040069580078
227.7184295654297	553.5706176757812	214.11000061035156	36.04660415649414	185.43215942382812	219.00848388671875
231.69601440429688	565.1981201171875	261.6300048828125	37.26687240600586	184.20272827148438	229.83726501464844
224.64572143554688	560.1546020507812	249.85000610351562	30.902584075927734	170.56378173828125	234.1747589111328
236.26145935058594	593.5586547851562	345.1600036621094	32.52750778198242	170.53802490234375	252.8629913330078
249.2925262451172	579.2774658203125	403.8399963378906	29.293296813964844	163.9732666015625	246.5972900390625
234.93743896484375	594.8347778320312	404.6000061035156	26.308551788330078	144.51141357421875	255.48703002929688
241.01583862304688	587.283447265625	292.9800109863281	25.21664810180664	168.6634979248047	264.50494384765625
221.37301635742188	554.5604248046875	259.1600036621094	24.717405319213867	167.02284240722656	227.1591796875
211.7758331298828	549.7523193359375	282.1600036621094	21.947099685668945	163.27284240722656	225.0927276611328
200.4280242919922	584.301513671875	346.4599914550781	23.6993408203125	158.2495880126953	248.16421508789062
204.7389373779297	614.3264770507812	317.6600036621094	23.275259017944336	163.4296875	266.0443420410156
207.1339111328125	628.475341796875	308.2699890136719	23.995214462280273	183.30323791503906	267.78240966796875
231.91517639160156	641.3713989257812	333.8699951171875	28.71930503845215	182.34521484375	275.9033203125
254.38340759277344	664.21728515625	444.7200012207031	27.676898956298828	185.6199951171875	259.29278564453125
270.108154296875	680.050537109375	456.55999755859375	26.76425552368164	168.3331756591797	256.8141784667969
278.8500061035156	681.3765869140625	430.1700134277344	24.294166564941406	188.0800018310547	285.0299987792969
271.8599853515625	681.9199829101562	449.7200012207031	20.489999771118164	181.97999572753906	287.25
