index	return	risk	AAPL	SPY	TSLA	HOG	HSY	HLT
0	0.014226594861114123	0.027512527637328244	0.057919194821676484	0.7641939216172151	-2.384917089819844e-20	-3.817177162158333e-20	0.17788688356110832	-4.4567073519743716e-20
1	0.014580727583499892	0.027562803917818058	0.06983898650147992	0.7702079454069126	0.00138030431978877	-4.8025445326236134e-20	0.15857276377181873	-5.646436461830998e-20
2	0.014934860305885662	0.027690720771869883	0.0750605062338053	0.7687828802640424	0.007416833571608549	-4.773000962182056e-20	0.14873977993054371	-5.63482530255298e-20
3	0.015288993028271431	0.027885047217950945	0.08028202596613071	0.7673578151211722	0.013453362823428372	-4.743573993051498e-20	0.13890679608926867	-5.623129522096634e-20
4	0.0156431257506572	0.028144407690643435	0.08550354569845615	0.765932749978302	0.01948989207524825	-4.714159394657696e-20	0.1290738122479936	-5.611307440779095e-20
5	0.01599725847304297	0.028467024688137884	0.09072506543078149	0.7645076848354319	0.02552642132706801	-4.6846065466054566e-20	0.1192408284067187	-5.599774838141099e-20
6	0.01635139119542874	0.028850776234983035	0.09594658516310693	0.7630826196925615	0.031562950578887826	-4.65542767564954e-20	0.10940784456544367	-5.588040165498596e-20
7	0.01670552391781451	0.02929325978028358	0.10116810489543239	0.7616575545496914	0.03759947983070762	-4.625731671534646e-20	0.09957486072416859	-5.57626851731844e-20
8	0.017059656640200278	0.02979185848814076	0.10638962462775774	0.7602324894068212	0.04363600908252739	-4.5961185171764054e-20	0.08974187688289369	-5.564658314842419e-20
9	0.017413789362586047	0.03034380629103306	0.11161114436008306	0.7588074242639512	0.049672538334347115	-4.566629703392055e-20	0.0799088930416187	-5.552973570680792e-20
10	0.017767922084971816	0.030946248766307333	0.11683266409240849	0.7573823591210809	0.05570906758616702	-4.5371004046867294e-20	0.07007590920034366	-5.541102643322799e-20
11	0.018122054807357586	0.0315941265010935	0.12235885305215918	0.7469959017404288	0.061454253061364525	-7.226079938987759e-19	0.06134800007274115	0.007842992073306344
12	0.018476187529743355	0.03227606960661863	0.12808540863081674	0.7307159582376359	0.06700783543976194	-6.987322217847558e-19	0.05334684660050817	0.020843951091277253
13	0.018830320252129124	0.032989066252854804	0.13381196420947422	0.7144360147348436	0.07256141781815927	-6.748811665992366e-19	0.04534569312827493	0.033844910109247964
14	0.019184452974514894	0.03373114730214429	0.13953851978813178	0.6981560712320507	0.07811500019655661	-6.510136066388637e-19	0.0373445396560419	0.04684586912721893
15	0.019538585696900663	0.03450043604800423	0.1452650753667893	0.6818761277292582	0.08366858257495399	-6.271741466347158e-19	0.029343386183808863	0.0598468281451897
16	0.019892718419286432	0.03529515348862593	0.15099163094544674	0.6655961842264657	0.08922216495335131	-6.032741368226309e-19	0.02134223271157578	0.07284778716316043
17	0.0202468511416722	0.03611362090913422	0.1567181865241043	0.6493162407236733	0.09477574733174861	-5.794317750336778e-19	0.01334107923934274	0.08584874618113107
18	0.02060098386405797	0.03695426029095172	0.16244474210276183	0.6330362972208805	0.10032932971014598	-5.555794755148425e-19	0.005339925767109756	0.09884970519910202
19	0.02095511658644374	0.037816129624431115	0.16714709500328415	0.6130041254221634	0.10703473652994272	-3.889706325804409e-19	-1.2834997611054597e-19	0.11281404304460972
20	0.02130924930882951	0.03870465431569201	0.16979431888907812	0.5854428645029597	0.11605135369898763	-3.576376753482991e-19	-1.1797094440892807e-19	0.12871146290897456
21	0.02166338203121528	0.03962010319321937	0.1724415427748721	0.5578816035837559	0.12506797086803254	-3.262844089260734e-19	-1.0758422258315589e-19	0.14460888277333947
22	0.022017514753601048	0.04056065327141786	0.17508876666066592	0.5303203426645527	0.13408458803707735	-2.949120348140035e-19	-9.719171855160581e-20	0.160506302637704
23	0.022371647475986817	0.041524598926247394	0.17773599054645978	0.5027590817453493	0.14310120520612224	-2.6355983291154747e-19	-8.68062242897418e-20	0.17640372250206868
24	0.022725780198372587	0.0425103486646008	0.18038321443225383	0.4751978208261451	0.15211782237516713	-2.322269691410326e-19	-7.642684102274586e-20	0.19230114236643392
25	0.023079912920758356	0.04351642076969156	0.18303043831804758	0.4476365599069422	0.16113443954421194	-2.0085066809850638e-19	-6.603218629244487e-20	0.20819856223079827
26	0.023434045643144125	0.044541438178874015	0.1856776622038414	0.4200752989877386	0.1701510567132569	-1.6949682618346557e-19	-5.564586345320379e-20	0.22409598209516307
27	0.023788178365529895	0.045584122881753064	0.1883248860896352	0.39251403806853535	0.1791676738823018	-1.3816755553859131e-19	-4.5267877107138524e-20	0.23999340195952765
28	0.024142311087915664	0.04664329006592229	0.19097210997542932	0.36495277714933116	0.18818429105134662	-1.0674150575192088e-19	-3.4857499004344725e-20	0.2558908218238929
29	0.024496443810301433	0.0477178421857848	0.1936193338612231	0.3373915162301281	0.19720090822039144	-7.539996944584751e-20	-2.447512863256518e-20	0.27178824168825744
30	0.024850576532687203	0.04880676308648073	0.19626655774701718	0.30983025531092406	0.20621752538943638	-4.403851108484348e-20	-1.4086772361347527e-20	0.2876856615526223
31	0.025204709255072972	0.04990911227933178	0.19891378163281084	0.282268994391721	0.21523414255848128	-1.2694061145921265e-20	-3.7024351927156e-21	0.3035830814169868
32	0.02555884197745874	0.051024019436543146	0.20156100551860492	0.25470773347251685	0.2242507597275262	1.8642035766237333e-20	6.678491837850955e-21	0.31948050128135197
33	0.02591297469984451	0.05215067915022021	0.2042082294043989	0.22714647255331305	0.2332673768965711	5.001330792956513e-20	1.7070258339992308e-20	0.33537792114571685
