	AAPL	SPY	TSLA	HOG	HSY	HLT
AAPL	0.003494164287795028	0.0005706842392638968	0.002545811593322347	0.0013063685204082929	0.0006658532978464968	0.00042202062850787904
SPY	0.0005706842392638968	0.0009830405744342741	0.0017390675513592692	0.0018986289784218913	-0.00015373829581544424	0.0012890502623603788
TSLA	0.002545811593322347	0.0017390675513592692	0.023768284562446885	0.0018703006967099919	-0.0033602715306849814	0.0006462359784748874
HOG	0.0013063685204082929	0.0018986289784218913	0.0018703006967099919	0.012296251995160134	0.0018527135364517645	0.0018460178073171113
HSY	0.0006658532978464968	-0.00015373829581544424	-0.0033602715306849814	0.0018527135364517645	0.004698825144176212	0.0003002918854059496
HLT	0.00042202062850787904	0.0012890502623603788	0.0006462359784748874	0.0018460178073171113	0.0003002918854059496	0.0035104499172144503
